"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Payconnect 2.0 Terminal","0","Sprint 29","6","0","Sale","0"
"0","Payconnect 2.0 Terminal","0","Sprint 29","2","0","Void","0"
"0","Payconnect 2.0 Terminal","0","Sprint 29","4","0","Authenticate","0"
